date,question,Campgrounds + Hospitality,Fishing,Gear + Equipment,Guides + Outfitters,Hunting,Motor Vehicle,Service Providers,Snowsports,Water Sports,all
04-2020,NA,1,0,0,0,0,0,0,0,0,1
05-2020,NA,1,0,0,0,0,0,0,0,0,1
08-2020,NA,0,0,0,0,0,0,0,0,0,0
04-2020,"No, but future changes possible",0,0,0,0,0,0,0,2,0,2
05-2020,"No, but future changes possible",0,0,0,0,0,0,0,0,0,0
08-2020,"No, but future changes possible",0,0,1,0,0,0,1,0,0,2
04-2020,"No, supply chain/distribution are unchanged",0,0,0,0,0,0,0,0,0,0
05-2020,"No, supply chain/distribution are unchanged",0,0,0,0,0,0,0,0,0,0
08-2020,"No, supply chain/distribution are unchanged",0,0,0,0,0,0,0,0,0,0
04-2020,"Yes, but not significantly",0,0,2,0,0,1,0,0,1,4
05-2020,"Yes, but not significantly",0,0,1,0,1,1,0,1,0,4
08-2020,"Yes, but not significantly",2,0,3,1,1,2,0,1,1,11
04-2020,"Yes, significantly",2,1,2,3,1,2,1,0,2,14
05-2020,"Yes, significantly",1,1,3,3,0,2,2,1,3,16
08-2020,"Yes, significantly",1,1,1,2,0,1,1,1,3,11