Data,Tag,Number of Association Employees (2019),Number of Member Businesses,Number of Member Business Employees (2019),Associationâ€™s annual revenue (2019), Industry's annual revenue (2019)
8-2020,"Guides + Outfitters, Gear + Equipment",4,500,1000000,1000000,122000000000
8-2020,Gear + Equipment,6,300,375000,2000000,150000000000
8-2020,Fishing,21,880,,6500000,
8-2020,Gear + Equipment,25,280,,3500000,88000000000
8-2020,Snowsports,2,4,6500,500000,34000000000
8-2020,Motor Vehicle,49,440,,,
8-2020,Campgrounds + Hospitality,12,3000,20000,3500000,200000000
8-2020,Motor Vehicle,13,1700,47000,3000000,20000000000
8-2020,Hunting,20,2500,500,5500000,
8-2020,Water Sports,8,1400,10000,3000000,4000000000
8-2020,Water Sports,5,1050,24262,1000000,4800000000
8-2020,Water Sports,17,455,,2300000,
8-2020,Guides + Outfitters,10,32,,2500000,
8-2020,Service Providers,1,113,1042,75000,90000000
8-2020,Motor Vehicle,,,,,
8-2020,Gear + Equipment,150,8000,1000000,47000000,45000000000
8-2020,Service Providers,22,130,3000,10000000,500000000
8-2020,Campgrounds + Hospitality,2,50,25000,450000,1800000000
8-2020,Gear + Equipment,30,1400,,6600000,
8-2020,Water Sports,100,1300,50000,50000000,43000000000
8-2020,Campgrounds + Hospitality,1,80,5000,118000,75000000
8-2020,Snowsports,7,800,,,76000000000
8-2020,Guides + Outfitters,4,600,,300000,